region,line_desc,total_qty,net_amt,sku_count
Europe,OLD MILLA,32.0,2231.1200199127197,12
Korea,OLD TERRAIN DERBY,32.0,4654547.0,10
Europe,OLD FURSTEN,32.0,6838.909942626953,6
Korea,OLD KOREA,30.0,2627268.0,22
Korea,MILLA,29.0,28093367.0,5
Europe,OLD MILANO,28.0,9151.750030517578,3
Europe,MCM TRAVEL COLLECTION,28.0,5351.949989318848,4
Korea,OLD VISETOS,27.0,5357818.0,7
CHINA,M-BAR,27.0,9295.570190429688,6
Europe,TRISHA,27.0,13482.770446777344,1
CHINA,MCM MONOGRAM,27.0,36964.069343566895,7
Europe,OLD NOVELTY LINE,27.0,6390.140079498291,8
Middle-East,SKYSTREAM,25.0,40386.8507232666,17
CHINA,DIAMANTE SOLE,25.0,55511.779296875,5
CHINA,FEDERLITE,24.0,61325.080322265625,11
Europe,DIA,24.0,19538.2197265625,2
HMS,PINA,23.0,46436.28001022339,3
HMS,OLD TRACY,23.0,39506.739990234375,9
HMS,OLD VISETOS,23.0,42484.499992370605,3
CHINA,FLO,23.0,9158.389957427979,8
Korea,DIAMANTE SOLE,22.0,9314272.0,11
CHINA,OLD COLLABORATION,22.0,3385.8399925231934,11
Europe,OLD COLLABORATION,22.0,1310.1199798583984,2
Japan,SEMBLAS,21.0,399000.0,6
Japan,TRISHA,21.0,1526000.0,1
Korea,OLD MCM TRAVEL COLLECTION,19.0,10426909.0,6
CHINA,OLD PATRICIA,19.0,6269.899936676025,6
HMS,MILLA,19.0,75328.70989990234,4
Korea,MCM TRAVEL COLLECTION,19.0,2279566.0,5
CHINA,OLD FURSTEN,18.0,20899.110137939453,6
North,OLD X-LINE,18.0,-8695.300048828125,2
North,DIA,17.0,13068.0,3
Europe,OLD OTTOMAR,17.0,4773.929916381836,3
CHINA,OLD NOVELTY LINE,17.0,19127.440353393555,6
Europe,LUXURY,16.0,23619.72085571289,4
Korea,FEDERLITE,16.0,6559360.0,7
CHINA,MCM TRAVEL COLLECTION,15.0,24998.220336914062,4
Middle-East,OLD JAPAN PHENOMENON,15.0,11732.399993896484,15
Korea,ANIMAL CHARM,15.0,636369.0,4
Korea,DUKE,15.0,11036002.0,3
Korea,OLD STARK,15.0,7386728.0,7
HMS,FEDERLITE,14.0,39450.169921875,7
CHINA,OLD OTTOMAR,13.0,16858.40003967285,5
Japan,PINA,12.0,943100.0,3
CHINA,KAROLINE,11.0,1517.6999588012695,2
CHINA,OLD TRISHA,11.0,8334.499725341797,2
HMS,PRINCESS LION,10.0,1248.8000030517578,1
CHINA,MONA,10.0,2194.6900177001953,3
Korea,RESNICK,10.0,2866455.0,6
Japan,OLD ITALIA,10.0,84600.0,8
North,KISSEN,10.0,5752.0,2
North,MCM ANIMAL,9.0,9817.0,7
CHINA,RESNICK,9.0,13022.989776611328,8
Middle-East,MILLA,9.0,39921.5107421875,3
Korea,ROBOTER,9.0,409095.0,6
Europe,OLD X-LINE,9.0,765.8800048828125,5
Korea,COLLABORATION,9.0,545456.0,6
Europe,RESNICK,9.0,1806.739974975586,5
Middle-East,MCM MONOGRAM,9.0,10001.910461425781,5
North,OLD NOVELTY LINE,8.0,1033.5,3
CHINA,ITALIA,8.0,982.3100051879883,5
Europe,OLD PATRICIA,8.0,2296.220016479492,6
Middle-East,DIAMANTE SOLE,7.0,11751.310180664062,7
HMS,VISETOS,7.0,3849.8900451660156,2
North,SPECIAL COLLECTION,7.0,4290.0,5
Japan,OLD VISETOS,7.0,63000.0,1
Europe,DIY,7.0,43.11999988555908,1
Middle-East,OLD AREN,7.0,8478.490112304688,3
North,OLD MCM ANIMAL,7.0,5224.25,5
