week,observed,trend,seasonal,residual,residual_z,residual_anomaly
2024-01-29,11627.0,12627.83197045078,-3449.5350993783068,2448.7031289275274,0.6655792326377222,False
2024-02-05,11609.0,12623.62231634383,-1758.2024213540315,743.5801050102018,0.08603828621583112,False
2024-02-12,9575.0,12619.792125634025,-2564.411652844785,-480.38047278924023,-0.3299641146029417,False
2024-02-19,10925.0,12616.35614845408,-1766.3412734158235,74.98512496174226,-0.1412052393686295,False
2024-02-26,10862.0,12613.310101907227,-1813.6283226646244,62.318220757397285,-0.14551049450145648,False
2024-03-04,9721.0,12610.636270400117,-2039.2224425638187,-850.4138278362971,-0.45573186143622635,False
2024-03-11,10320.0,12608.31417061749,-2260.105932172063,-28.208238445426105,-0.1762788256463245,False
2024-03-18,8539.0,12606.276417038562,-3968.3518760856496,-98.92454095291214,-0.2003140373628911,False
2024-03-25,14331.0,12604.411141617053,-3143.9789551930667,4870.567813576014,1.4887279038828019,False
2024-04-01,11339.0,12602.618619559906,-2142.981451279381,879.3628317194762,0.13218841664105566,False
2024-04-08,9869.0,12600.785907031119,-3551.1935171239375,819.4076100928196,0.11181070465367035,False
2024-04-15,11420.0,12598.807118542318,-1499.7964088289245,320.9892902866068,-0.05759280507719509,False
2024-04-22,9551.0,12596.604410703398,-1536.4735629764884,-1509.1308477269085,-0.6796180442962628,False
2024-04-29,10583.0,12594.115144055477,-1631.6362944761997,-379.47884957927636,-0.2956694500008158,False
2024-05-06,10111.0,12591.29393376837,-1789.3320416728563,-690.9618920955127,-0.40153698842599755,False
2024-05-13,11800.0,12588.122949883758,-1284.7985487428623,496.67559885910487,0.0021198421132463743,False
2024-05-20,13081.0,12584.604707926645,6292.8841121594205,-5796.488820086065,-2.1368146583224767,False
2024-05-27,18537.0,12580.778200092884,1617.1088173593098,4339.112982547807,1.3080958723904474,False
2024-06-03,15791.0,12576.696454055063,2590.8743002778915,623.4292456670446,0.045201149094097524,False
2024-06-10,13459.0,12572.439201488107,282.61887219502484,603.9419263168675,0.03857775632946211,False
2024-06-17,17006.0,12568.104758834585,3048.720472756477,1389.1747684089387,0.3054644138224261,False
