sku_cd,non_promo_avg_daily_qty,promo_avg_daily_qty,promo_lift,demand_class,abc_class,total_qty
MWRAASE03CO001,5.104519774011299,6.415300546448087,0.25678826421838563,Lumpy,A,4557.0
MWEAAPA02CO001,3.1065502183406113,3.8518518518518516,0.23991295202990437,Lumpy,A,3789.0
MXSAAVI04CO001,3.0145586897179255,3.701388888888889,0.22783772680014747,Lumpy,A,3659.0
MXAAAVI03BK001,1.9082167832167831,2.3333333333333335,0.22278210413803645,Intermittent,A,2114.0
MWBESEA02CO001,3.1838351822503963,3.870967741935484,0.2158191364665456,Lumpy,A,2024.0
MWRAAVI01CO001,2.6869565217391305,3.212121212121212,0.19544964205158366,Smooth,A,1866.0
MWHCATA11CO001,3.948717948717949,4.67741935483871,0.18454126518642644,Lumpy,A,3486.0
MXBAAVI08BK001,3.0961538461538463,3.6451612903225805,0.17731917451412538,Erratic,A,4392.0
MYSESXT01CO001,2.293150684931507,2.65625,0.15834080047789723,Erratic,A,1675.0
MXZAAVI09CO001,3.886262924667651,4.458333333333333,0.14720321804130232,Erratic,A,5102.0
MWSBAER01BK001,2.461263408820024,2.812749003984064,0.14280698031120087,Lumpy,A,2636.0
MMZCAFI01BK001,2.134703196347032,2.4245283018867925,0.13576833821006962,Lumpy,A,2023.0
MEXCSMM22CO042,2.8015873015873014,3.12,0.1136543909348442,Lumpy,A,1605.0
MWRBAWO05CO001,16.09403107113655,17.690851735015773,0.09921819193843895,Erratic,A,24046.0
MYABSPA07CO001,1.797482837528604,1.949685534591195,0.08467546609338283,Lumpy,A,1788.0
MECBAMM01CO001,2.365795724465558,2.5142857142857142,0.06276534710269654,Lumpy,A,2063.0
MXSBSVI01BK001,1.9279661016949152,2.045977011494253,0.06121005431350257,Intermittent,A,1900.0
MMKAAVE15BK001,2.4359504132231407,2.582089552238806,0.05999265757725358,Lumpy,A,2405.0
MYLDSXT03CO001,2.4565916398713825,2.6,0.05837696335078535,Lumpy,A,1593.0
MXBAAVI03CO001,4.019285714285714,4.20945945945946,0.04731530891118596,Erratic,A,5941.0
MESCSMM24CO039,5.519015659955257,5.689655172413793,0.030918468613281513,Lumpy,A,2664.0
MXSAAVI04BK001,3.2620087336244543,3.3426573426573425,0.024723603036855835,Erratic,A,4003.0
MWPESAC02P6001,3.416502946954813,3.477777777777778,0.01793495623282859,Lumpy,A,2249.0
MXCAAVI02BK001,2.8439821693907876,2.888888888888889,0.01579008475560184,Erratic,A,3663.0
MWTDABO01CO001,3.9419354838709677,3.996138996138996,0.013750481835588246,Lumpy,A,2148.0
MMRBSBF05CO001,1.9371069182389937,1.9575070821529745,0.010531253449100442,Lumpy,A,1827.0
MXCAAVI02CO001,2.5341176470588236,2.5555555555555554,0.008459713195089202,Smooth,A,3094.0
MMK6SVE92CO001,5.1988304093567255,5.192982456140351,-0.0011248593925760053,Lumpy,A,2832.0
MXBAAVI03BK001,2.31986531986532,2.2941176470588234,-0.011098779134295356,Lumpy,A,2656.0
MMKAAVE13CO001,2.53288740245262,2.5,-0.012984154929577496,Lumpy,A,2216.0
MXSAAVI02BK001,2.5261627906976742,2.4782608695652173,-0.0189623255115825,Lumpy,A,2754.0
MWRAACG01CO001,3.586885245901639,3.4918032786885247,-0.026508226691041914,Lumpy,A,3533.0
MPFDSMM03BK001,3.209068010075567,3.1125,-0.030092229199372156,Lumpy,A,2671.0
MYL8SPA11CO001,3.4918276374442794,3.360655737704918,-0.037565399372166075,Lumpy,A,2446.0
MWDCSDU02CO001,3.6905311778290995,3.523076923076923,-0.0453740252238376,Lumpy,A,3258.0
MMKAAVE09BK001,3.1585492227979275,3.013157894736842,-0.04603104710595385,Lumpy,A,3115.0
MWDCSDU02BK001,1.9492656875834447,1.8592592592592592,-0.04617453069507871,Lumpy,A,1627.0
MMRBSME03CO001,3.422099447513812,3.2142857142857144,-0.060726970801236124,Lumpy,A,3931.0
MESCSMM24CO038,4.173719376391982,3.8484848484848486,-0.07792438795640488,Lumpy,A,2143.0
MWPCSVI01QZ001,8.585746102449889,7.79,-0.09268223086900129,Lumpy,A,5144.0
MYLAAVI01CO001,3.665395614871306,3.256198347107438,-0.11163795419617628,Lumpy,A,4034.0
MXSAAVI02CO001,2.75,2.3983050847457625,-0.12788906009244994,Lumpy,A,3070.0
MXAAAVI01CO001,1.952819332566168,1.6896551724137931,-0.1347611403490947,Lumpy,A,1660.0
MWBBAER01CO001,6.658959537572255,5.713978494623656,-0.14191121565113507,Lumpy,A,5825.0
MMKAAVE10CO001,4.023278370514064,3.4411764705882355,-0.14468347609053267,Lumpy,A,4053.0
MPFDSMM02BK001,3.6376988984088126,3.0923076923076924,-0.14992752872968207,Lumpy,A,3025.0
MXSAAVI01CO001,2.296724470134875,1.9125,-0.16729236577181206,Lumpy,A,2411.0
MWDCSDU03CO001,2.878504672897196,2.3734939759036147,-0.1754420278516663,Lumpy,A,3008.0
MXLAAVI01BK001,2.642172523961661,2.175438596491228,-0.17664778633403333,Lumpy,A,1808.0
MWPCSVI01WT001,2.2185185185185183,1.8181818181818181,-0.1804522689330702,Lumpy,A,2315.0
MWPDALR01CO001,5.495124593716143,4.327868852459017,-0.21241661064280903,Erratic,A,5353.0
MXSBSVI01CO001,3.348708487084871,2.591160220994475,-0.2262210249151485,Lumpy,A,3896.0
MMKAAVE09XC001,2.416791604197901,1.8372093023255813,-0.23981476138265334,Lumpy,A,1608.0
MMKAAVE32CO001,4.846153846153846,3.6666666666666665,-0.24338624338624337,Lumpy,A,3019.0
