sku_cd,demand_class,abc_class,total_qty,latest_stock_qty,avg_aging,stockout_rate,stock_snapshots,weekly_velocity,coverage_weeks,stock_risk
MYAGSTA02CO001,Intermittent,B,123.0,57.0,159.33333333333334,0.0,21.0,6.75,8.444444444444445,low
MECGAMM03BK001,Lumpy,B,81.0,6.0,67.0,0.0,10.0,6.75,0.8888888888888888,high
MWHESTA02CO001,Erratic,A,2930.0,2398.0,100.31764705882352,0.0,26.0,6.75,355.25925925925924,low
MEXCAMM17CO041,Intermittent,A,890.0,139.0,189.48837209302326,0.0,26.0,6.666666666666667,20.849999999999998,low
MWBGSEA08WT001,Lumpy,B,125.0,205.0,216.3684210526316,0.0,23.0,6.666666666666667,30.75,low
MXZGSTA01CO001,Intermittent,B,205.0,390.0,131.55555555555554,0.0,22.0,6.666666666666667,58.5,low
MYZGSTA02CO001,Intermittent,B,137.0,31.0,151.05263157894737,0.0,21.0,6.583333333333333,4.708860759493671,medium
MXZGSTT07CO001,Intermittent,B,141.0,332.0,81.74,0.0,23.0,6.583333333333333,50.43037974683544,low
MXEGSTA16CO001,Erratic,A,445.0,99.0,217.03333333333333,0.0,21.0,6.583333333333333,15.037974683544304,low
MXVGSTT01CO001,Intermittent,B,134.0,15.0,196.6,0.0,21.0,6.583333333333333,2.278481012658228,high
MWSGATA01I8001,Intermittent,B,75.0,730.0,16.515625,0.0,16.0,6.5,112.3076923076923,low
MMRFAAK02CO001,Intermittent,A,639.0,410.0,141.975,0.0,26.0,6.5,63.07692307692308,low
MMRGSTA03CO001,Lumpy,B,128.0,711.0,106.5,0.0,21.0,6.5,109.38461538461539,low
MEXCAMM17BK045,Intermittent,A,715.0,113.0,74.8,0.0,26.0,6.5,17.384615384615383,low
MESGSMM04PZ037,Intermittent,B,95.0,33.0,99.9090909090909,0.0,17.0,6.5,5.076923076923077,medium
MWPGSMT03WT001,Intermittent,B,76.0,315.0,72.79729729729729,0.0,13.0,6.5,48.46153846153846,low
MPFFSMM04CO001,Intermittent,A,885.0,553.0,300.7191011235955,0.0,26.0,6.5,85.07692307692308,low
MWBFAEA01CO001,Intermittent,A,281.0,24.0,182.8,0.0,26.0,6.416666666666667,3.74025974025974,high
MWHGATA024B001,Intermittent,B,96.0,199.0,66.2127659574468,0.0,17.0,6.333333333333333,31.42105263157895,low
MXAGATA044B001,Intermittent,B,89.0,271.0,93.13414634146342,0.0,17.0,6.333333333333333,42.78947368421053,low
MWPEALR05BK001,Lumpy,A,1186.0,78.0,227.1764705882353,0.0,26.0,6.333333333333333,12.31578947368421,low
MWPGSMT07CO001,Intermittent,B,198.0,26.0,168.33333333333334,0.0,20.0,6.25,4.16,medium
MWPDALR01CO001,Erratic,A,5353.0,179.0,477.95348837209303,0.0,26.0,6.25,28.64,low
MWHGATA014B001,Lumpy,B,75.0,114.0,76.83333333333333,0.0,16.0,6.25,18.24,low
MEXFSMM02CO040,Intermittent,A,263.0,40.0,261.2857142857143,0.0,26.0,6.25,6.4,medium
MPFEAMM05BK001,Lumpy,A,1361.0,181.0,518.2413793103449,0.0,26.0,6.166666666666667,29.35135135135135,low
MMRAAKC03CO001,Lumpy,A,3267.0,196.0,153.0,0.0,26.0,6.166666666666667,31.783783783783782,low
