sku_cd,demand_class,abc_class,total_qty,eligible_min_24_weeks,stock_risk,coverage_weeks,weekly_velocity,promo_lift,promo_influence,recommended_action
MXAAAVI03CO001,Smooth,A,3091.0,True,low,26.742857142857144,5.833333333333333,0.5160603220584477,high,pre-position_inventory_before_promotion_window
MXSAAVI02CO001,Lumpy,A,3070.0,True,low,132.0,0.08333333333333333,-0.12788906009244994,low,use_intermittent_or_hierarchical_forecast
MYLAAVI03CO001,Lumpy,A,3039.0,True,low,32.18181818181818,5.5,0.36811410459587957,medium,use_intermittent_or_hierarchical_forecast
MPFDSMM02BK001,Lumpy,A,3025.0,True,low,91.2,0.4166666666666667,-0.14992752872968207,low,use_intermittent_or_hierarchical_forecast
MMKAAVE32CO001,Lumpy,A,3019.0,True,low,18.0,0.16666666666666666,-0.24338624338624337,low,use_intermittent_or_hierarchical_forecast
MWDCSDU03CO001,Lumpy,A,3008.0,True,low,,0.0,-0.1754420278516663,low,use_intermittent_or_hierarchical_forecast
MMZAAFI04BK001,Lumpy,A,3003.0,True,low,26.94915254237288,9.833333333333334,0.8339514416656257,high,pre-position_inventory_before_promotion_window
MMKEAVE16CO001,Erratic,A,2966.0,True,low,58.99212598425197,31.75,,unknown,monitor_with_weekly_baseline
MXBAAVI03WT001,Lumpy,A,2966.0,True,low,40.0,0.25,2.459798557813134,high,pre-position_inventory_before_promotion_window
MWHESTA02CO001,Erratic,A,2930.0,True,low,355.25925925925924,6.75,1.9314626750733987,high,pre-position_inventory_before_promotion_window
MPFDSMM01RE001,Lumpy,A,2924.0,True,low,,0.0,0.37005409165597225,medium,use_intermittent_or_hierarchical_forecast
MYZAAVI02XC001,Lumpy,A,2922.0,True,low,,0.0,0.585185185185185,high,use_intermittent_or_hierarchical_forecast
MPCCSMM01CO001,Lumpy,A,2861.0,True,low,,0.0,0.4004455609802342,medium,use_intermittent_or_hierarchical_forecast
MWBEAEA01QH001,Lumpy,A,2851.0,True,low,66.0,0.16666666666666666,-0.8584307178631052,low,use_intermittent_or_hierarchical_forecast
MMK6SVE92CO001,Lumpy,A,2832.0,True,low,9.272727272727273,1.8333333333333333,-0.0011248593925760053,low,use_intermittent_or_hierarchical_forecast
MEZCAMM17CO0ML,Lumpy,A,2827.0,True,low,33.935483870967744,7.75,,unknown,use_intermittent_or_hierarchical_forecast
MWRGSTA02CO001,Erratic,A,2804.0,True,low,28.748663101604276,124.66666666666667,,unknown,monitor_with_weekly_baseline
MXKCSVI01CO001,Lumpy,A,2803.0,True,medium,7.128712871287129,8.416666666666666,1.3434896250600867,high,pre-position_inventory_before_promotion_window
MMKAAVE09CO001,Lumpy,A,2777.0,True,low,22.285714285714285,1.1666666666666667,-0.4330988955523234,low,use_intermittent_or_hierarchical_forecast
MXSAAVI02BK001,Lumpy,A,2754.0,True,low,,0.0,-0.0189623255115825,low,use_intermittent_or_hierarchical_forecast
MYZBSKM03BK001,Lumpy,A,2704.0,True,high,2.181818181818182,0.9166666666666666,0.9813765802579488,high,replenish_or_rebalance_before_next_sales_cycle
MWBESEA09CO001,Lumpy,A,2686.0,True,low,31.65770171149144,34.083333333333336,3.4599468537963416,high,pre-position_inventory_before_promotion_window
MPFDSMM03BK001,Lumpy,A,2671.0,True,low,148.94117647058823,1.4166666666666667,-0.030092229199372156,low,use_intermittent_or_hierarchical_forecast
MESCSMM24CO039,Lumpy,A,2664.0,True,low,,0.0,0.030918468613281513,low,use_intermittent_or_hierarchical_forecast
MXBAAVI03BK001,Lumpy,A,2656.0,True,low,14.549222797927463,16.083333333333332,-0.011098779134295356,low,use_intermittent_or_hierarchical_forecast
MWSBAER01BK001,Lumpy,A,2636.0,True,low,27.272727272727273,0.9166666666666666,0.14280698031120087,medium,use_intermittent_or_hierarchical_forecast
MPFESMM03PK001,Erratic,A,2629.0,True,low,31.181818181818183,11.0,,unknown,monitor_with_weekly_baseline
MESCAMM11CO040,Lumpy,A,2599.0,True,low,10.923076923076923,19.5,1.2037491845427684,high,pre-position_inventory_before_promotion_window
MXBAAVI04CO001,Lumpy,A,2580.0,True,low,27.81818181818182,1.8333333333333333,1.6552233644566,high,pre-position_inventory_before_promotion_window
MESCAMM11CO039,Lumpy,A,2571.0,True,low,9.674418604651162,21.5,1.3826102975039145,high,pre-position_inventory_before_promotion_window
MWPDALR01BK001,Lumpy,A,2560.0,True,low,69.0,1.3333333333333333,-0.3753778838504376,low,use_intermittent_or_hierarchical_forecast
MWPEALR05CO001,Erratic,A,2534.0,True,low,21.725118483412324,17.583333333333332,,unknown,monitor_with_weekly_baseline
MWPESAC03CO001,Lumpy,A,2523.0,True,low,98.76106194690266,18.833333333333332,2.4565470519741717,high,pre-position_inventory_before_promotion_window
MPFCAMM01T1001,Lumpy,A,2489.0,True,low,13.714285714285714,1.1666666666666667,-0.4718049547778215,low,use_intermittent_or_hierarchical_forecast
MMKEAVE15PZ001,Erratic,A,2471.0,True,low,74.82857142857144,23.333333333333332,,unknown,monitor_with_weekly_baseline
MPFDAMM07CO001,Lumpy,A,2469.0,True,low,,0.0,-0.8741312741312741,low,use_intermittent_or_hierarchical_forecast
MWPESAC03I9001,Lumpy,A,2464.0,True,low,94.14977973568281,18.916666666666668,1.310227908277405,high,pre-position_inventory_before_promotion_window
MMKEAVE15IG001,Erratic,A,2457.0,True,low,63.21649484536082,16.166666666666668,,unknown,monitor_with_weekly_baseline
MYL8SPA11CO001,Lumpy,A,2446.0,True,low,,0.0,-0.037565399372166075,low,use_intermittent_or_hierarchical_forecast
MXBAAVI03XC001,Lumpy,A,2445.0,True,low,,0.0,0.32990574121679517,medium,use_intermittent_or_hierarchical_forecast
MWBFAEA03CO001,Smooth,A,2437.0,True,low,10.177215189873419,32.916666666666664,,unknown,monitor_with_weekly_baseline
MXBAAVI01BK001,Lumpy,A,2431.0,True,low,10.956521739130434,3.8333333333333335,0.79996479493047,high,pre-position_inventory_before_promotion_window
MXSAAVI01CO001,Lumpy,A,2411.0,True,low,32.0,5.0,-0.16729236577181206,low,use_intermittent_or_hierarchical_forecast
MMKAAVE15BK001,Lumpy,A,2405.0,True,low,64.0,0.5,0.05999265757725358,low,use_intermittent_or_hierarchical_forecast
MWBESEA09P6001,Lumpy,A,2357.0,True,low,21.342019543973944,25.583333333333332,1.239379730882733,high,pre-position_inventory_before_promotion_window
MWREATA01CO001,Smooth,A,2326.0,True,low,39.811764705882354,14.166666666666666,,unknown,monitor_with_weekly_baseline
MWPCSVI01WT001,Lumpy,A,2315.0,True,low,22.695652173913043,3.8333333333333335,-0.1804522689330702,low,use_intermittent_or_hierarchical_forecast
MWPGSLR02CO001,Smooth,A,2255.0,True,low,115.90751445086705,72.08333333333333,,unknown,monitor_with_weekly_baseline
MWPESAC02P6001,Lumpy,A,2249.0,True,low,21.333333333333332,3.75,0.01793495623282859,low,use_intermittent_or_hierarchical_forecast
MXBAAVI08XC001,Lumpy,A,2229.0,True,low,14.879999999999999,2.0833333333333335,0.43418594821591694,medium,use_intermittent_or_hierarchical_forecast
MWPFSMT02CO001,Lumpy,A,2227.0,True,low,18.0,0.5,-0.8027385537013265,low,use_intermittent_or_hierarchical_forecast
MMKAAVE13CO001,Lumpy,A,2216.0,True,low,33.42857142857142,1.1666666666666667,-0.012984154929577496,low,use_intermittent_or_hierarchical_forecast
MWBBAER01QH001,Lumpy,A,2210.0,True,low,,0.0,-0.7644444444444445,low,use_intermittent_or_hierarchical_forecast
MMKAAVE15I8001,Lumpy,A,2208.0,True,low,16.0,0.5,-0.4629223343571742,low,use_intermittent_or_hierarchical_forecast
MWDBAXL01BK001,Lumpy,A,2177.0,True,low,,0.0,-0.6876767512359871,low,use_intermittent_or_hierarchical_forecast
MWTDABO01CO001,Lumpy,A,2148.0,True,low,,0.0,0.013750481835588246,low,use_intermittent_or_hierarchical_forecast
MESCSMM24CO038,Lumpy,A,2143.0,True,low,,0.0,-0.07792438795640488,low,use_intermittent_or_hierarchical_forecast
MMTCATA03B1001,Lumpy,A,2128.0,True,low,,0.0,,unknown,use_intermittent_or_hierarchical_forecast
MXAAAVI03BK001,Intermittent,A,2114.0,True,low,21.633802816901408,5.916666666666667,0.22278210413803645,medium,use_intermittent_or_hierarchical_forecast
MWPDSTA01BK001,Lumpy,A,2102.0,True,low,,0.0,0.972753808691309,high,use_intermittent_or_hierarchical_forecast
MWPAAVI02QH001,Lumpy,A,2072.0,True,low,,0.0,1.826485250690629,high,use_intermittent_or_hierarchical_forecast
MECBAMM01CO001,Lumpy,A,2063.0,True,low,20.0,0.25,0.06276534710269654,low,use_intermittent_or_hierarchical_forecast
MPFFSMM03PK001,Erratic,A,2058.0,True,low,17.142857142857142,7.0,,unknown,monitor_with_weekly_baseline
MWBESEA02CO001,Lumpy,A,2024.0,True,low,,0.0,0.2158191364665456,medium,use_intermittent_or_hierarchical_forecast
MMZCAFI01BK001,Lumpy,A,2023.0,True,low,42.0,0.16666666666666666,0.13576833821006962,medium,use_intermittent_or_hierarchical_forecast
MWRESAK02CO001,Lumpy,A,2005.0,True,low,264.0,1.75,0.8241955089245732,high,pre-position_inventory_before_promotion_window
MWHBSKM02CO001,Lumpy,A,1961.0,True,low,,0.0,1.7762886400367957,high,use_intermittent_or_hierarchical_forecast
MXEBAVI03CO001,Lumpy,A,1957.0,True,low,,0.0,0.3049338018325827,medium,use_intermittent_or_hierarchical_forecast
MMKAAVE08CO001,Lumpy,A,1953.0,True,low,,0.0,0.3933652269613459,medium,use_intermittent_or_hierarchical_forecast
MWRESAC02CO001,Lumpy,A,1953.0,True,low,72.23300970873787,25.75,0.9748497770885829,high,pre-position_inventory_before_promotion_window
MPFDAMM10T1001,Lumpy,A,1934.0,True,low,24.0,0.08333333333333333,0.3495785036880925,medium,use_intermittent_or_hierarchical_forecast
MYZCSSX01U4001,Lumpy,A,1926.0,True,low,,0.0,0.7263836811021742,high,use_intermittent_or_hierarchical_forecast
MXKCSVI01BK001,Lumpy,A,1916.0,True,low,48.0,0.5,1.2694216743886857,high,pre-position_inventory_before_promotion_window
MXSBSVI01BK001,Intermittent,A,1900.0,True,low,44.0,0.5,0.06121005431350257,low,use_intermittent_or_hierarchical_forecast
MPFFAMM03PK001,Erratic,A,1876.0,True,low,18.741573033707866,7.416666666666667,,unknown,monitor_with_weekly_baseline
MEZCAMM17BK0ML,Lumpy,A,1869.0,True,low,52.075471698113205,4.416666666666667,,unknown,use_intermittent_or_hierarchical_forecast
MWRAAVI01CO001,Smooth,A,1866.0,True,low,31.97872340425532,15.666666666666666,0.19544964205158366,medium,monitor_with_weekly_baseline
MWTCABO07BK001,Lumpy,A,1859.0,True,low,8.0,2.25,-0.3455499814195466,low,use_intermittent_or_hierarchical_forecast
MPFCSMM01CO001,Lumpy,A,1843.0,True,low,,0.0,-0.359217877094972,low,use_intermittent_or_hierarchical_forecast
MMRBSBF05CO001,Lumpy,A,1827.0,True,low,96.0,0.08333333333333333,0.010531253449100442,low,use_intermittent_or_hierarchical_forecast
MWPAATN03BK001,Lumpy,A,1817.0,True,low,60.0,0.16666666666666666,0.3155126988586665,medium,use_intermittent_or_hierarchical_forecast
MMKFAVE13QH001,Erratic,A,1812.0,True,low,12.53968253968254,63.0,,unknown,monitor_with_weekly_baseline
MXLAAVI01BK001,Lumpy,A,1808.0,True,low,,0.0,-0.17664778633403333,low,use_intermittent_or_hierarchical_forecast
MXZAAVI03CO001,Lumpy,A,1802.0,True,low,27.0,0.3333333333333333,0.4442690626517727,medium,use_intermittent_or_hierarchical_forecast
MYLAAPA02QH001,Lumpy,A,1795.0,True,low,,0.0,2.0785880785880786,high,use_intermittent_or_hierarchical_forecast
MYABSPA07CO001,Lumpy,A,1788.0,True,low,10.576271186440678,4.916666666666667,0.08467546609338283,low,use_intermittent_or_hierarchical_forecast
MPFFAMM04CO001,Erratic,A,1788.0,True,medium,4.133333333333334,30.0,,unknown,monitor_with_weekly_baseline
MMKEAVE16PZ001,Erratic,A,1782.0,True,low,110.0377358490566,13.25,,unknown,monitor_with_weekly_baseline
MXZESTA03BK001,Lumpy,A,1778.0,True,low,834.0,0.3333333333333333,,unknown,use_intermittent_or_hierarchical_forecast
MMZCAFI01CO001,Lumpy,A,1756.0,True,low,,0.0,0.6034688895900102,high,use_intermittent_or_hierarchical_forecast
